"","total_cases","weekdate"
"362",11,1997-04-12
"363",19,1997-04-19
"364",10,1997-04-26
"365",8,1997-05-03
"366",8,1997-05-10
"367",9,1997-05-17
"368",3,1997-05-24
"369",7,1997-05-31
"370",14,1997-06-07
"371",4,1997-06-14
"372",9,1997-06-21
"373",14,1997-06-28
"374",7,1997-07-05
"375",9,1997-07-12
"376",3,1997-07-19
"377",3,1997-07-26
"378",14,1997-08-02
"379",12,1997-08-09
"380",10,1997-08-16
"381",21,1997-08-23
"382",26,1997-08-30
"383",47,1997-09-06
"384",42,1997-09-13
"385",31,1997-09-20
"386",34,1997-09-27
"387",33,1997-10-04
"388",52,1997-10-11
"389",56,1997-10-18
"390",70,1997-10-25
"391",112,1997-11-01
"392",70,1997-11-08
"393",47,1997-11-15
"394",48,1997-11-22
"395",49,1997-11-29
"396",66,1997-12-06
"397",56,1997-12-13
"398",61,1997-12-20
"399",67,1997-12-27
"400",64,1998-01-03
"401",68,1998-01-10
"402",49,1998-01-17
"403",50,1998-01-24
"404",56,1998-01-31
"405",75,1998-02-07
"406",63,1998-02-14
"407",62,1998-02-21
"408",41,1998-02-28
"409",50,1998-03-07
"410",34,1998-03-14
"411",31,1998-03-21
"412",38,1998-03-28
"413",30,1998-04-04
"414",32,1998-04-11
"415",26,1998-04-18
"416",30,1998-04-25
"417",36,1998-05-02
"418",35,1998-05-09
"419",46,1998-05-16
"420",48,1998-05-23
"421",44,1998-05-30
"422",51,1998-06-06
"423",59,1998-06-13
"424",71,1998-06-20
"425",102,1998-06-27
"426",128,1998-07-04
"427",127,1998-07-11
"428",150,1998-07-18
"429",191,1998-07-25
"430",256,1998-08-01
"431",329,1998-08-08
"432",263,1998-08-15
"433",220,1998-08-22
"434",204,1998-08-29
"435",181,1998-09-05
"436",99,1998-09-12
"437",54,1998-09-19
"438",80,1998-09-26
"439",102,1998-10-03
"440",127,1998-10-10
"441",73,1998-10-17
"442",68,1998-10-24
"443",64,1998-10-31
"444",55,1998-11-07
"445",67,1998-11-14
"446",84,1998-11-21
"447",85,1998-11-28
"448",67,1998-12-05
"449",73,1998-12-12
"450",89,1998-12-19
"451",68,1998-12-26
"452",59,1999-01-02
"453",56,1999-01-09
"454",77,1999-01-16
"455",75,1999-01-23
"456",47,1999-01-30
"457",50,1999-02-06
"458",42,1999-02-13
"459",28,1999-02-20
"460",37,1999-02-27
"461",37,1999-03-06
"462",27,1999-03-13
"463",12,1999-03-20
"464",15,1999-03-27
"465",22,1999-04-03
"466",8,1999-04-10
"467",15,1999-04-17
"468",17,1999-04-24
"469",10,1999-05-01
"470",9,1999-05-08
"471",11,1999-05-15
"472",20,1999-05-22
"473",13,1999-05-29
"474",11,1999-06-05
"475",16,1999-06-12
"476",11,1999-06-19
"477",7,1999-06-26
"478",17,1999-07-03
"479",14,1999-07-10
"480",13,1999-07-17
"481",15,1999-07-24
"482",30,1999-07-31
"483",25,1999-08-07
"484",40,1999-08-14
"485",44,1999-08-21
"486",25,1999-08-28
"487",21,1999-09-04
"488",48,1999-09-11
"489",56,1999-09-18
"490",60,1999-09-25
"491",45,1999-10-02
"492",55,1999-10-09
"493",32,1999-10-16
"494",46,1999-10-23
"495",61,1999-10-30
"496",42,1999-11-06
"497",37,1999-11-13
"498",43,1999-11-20
"499",34,1999-11-27
"500",40,1999-12-04
"501",25,1999-12-11
"502",16,1999-12-18
"503",17,1999-12-25
"504",17,2000-01-01
"505",16,2000-01-08
"506",23,2000-01-15
"507",18,2000-01-22
"508",18,2000-01-29
"509",9,2000-02-05
"510",7,2000-02-12
"511",7,2000-02-19
"512",4,2000-02-26
"513",3,2000-03-04
"514",2,2000-03-11
"515",8,2000-03-18
"516",3,2000-03-25
"517",1,2000-04-01
"518",1,2000-04-08
"519",2,2000-04-15
"520",3,2000-04-22
"521",3,2000-04-29
"522",2,2000-05-06
"523",0,2000-05-13
"524",0,2000-05-20
"525",2,2000-05-27
"526",2,2000-06-03
"527",0,2000-06-10
"528",6,2000-06-17
"529",3,2000-06-24
"530",6,2000-07-01
"531",2,2000-07-08
"532",3,2000-07-15
"533",2,2000-07-22
"534",4,2000-07-29
"535",5,2000-08-05
"536",2,2000-08-12
"537",9,2000-08-19
"538",2,2000-08-26
"539",4,2000-09-02
"540",8,2000-09-09
"541",6,2000-09-16
"542",3,2000-09-23
"543",11,2000-09-30
"544",14,2000-10-07
"545",15,2000-10-14
"546",20,2000-10-21
"547",9,2000-10-28
"548",20,2000-11-04
"549",28,2000-11-11
"550",38,2000-11-18
"551",30,2000-11-25
"552",30,2000-12-02
"553",23,2000-12-09
"554",16,2000-12-16
"555",22,2000-12-23
"556",28,2001-01-06
"557",14,2001-01-13
"558",17,2001-01-20
"559",20,2001-01-27
"560",17,2001-02-03
"561",10,2001-02-10
"562",13,2001-02-17
"563",20,2001-02-24
"564",9,2001-03-03
"565",18,2001-03-10
"566",9,2001-03-17
"567",8,2001-03-24
"568",19,2001-03-31
"569",11,2001-04-07
"570",4,2001-04-14
"571",6,2001-04-21
"572",6,2001-04-28
"573",8,2001-05-05
"574",13,2001-05-12
"575",8,2001-05-19
"576",8,2001-05-26
"577",5,2001-06-02
"578",16,2001-06-09
"579",12,2001-06-16
"580",11,2001-06-23
"581",18,2001-06-30
"582",10,2001-07-07
"583",22,2001-07-14
"584",14,2001-07-21
"585",16,2001-07-28
"586",18,2001-08-04
"587",27,2001-08-11
"588",38,2001-08-18
"589",35,2001-08-25
"590",41,2001-09-01
"591",51,2001-09-08
"592",65,2001-09-15
"593",55,2001-09-22
"594",54,2001-09-29
"595",62,2001-10-06
"596",64,2001-10-13
"597",56,2001-10-20
"598",65,2001-10-27
"599",71,2001-11-03
"600",75,2001-11-10
"601",71,2001-11-17
"602",72,2001-11-24
"603",47,2001-12-01
"604",27,2001-12-08
"605",35,2001-12-15
"606",25,2001-12-22
"607",19,2001-12-29
"608",37,2002-01-05
"609",38,2002-01-12
"610",34,2002-01-19
"611",26,2002-01-26
"612",19,2002-02-02
"613",18,2002-02-09
"614",22,2002-02-16
"615",16,2002-02-23
"616",18,2002-03-02
"617",6,2002-03-09
"618",12,2002-03-16
"619",6,2002-03-23
"620",6,2002-03-30
"621",3,2002-04-06
"622",7,2002-04-13
"623",6,2002-04-20
"624",1,2002-04-27
"625",3,2002-05-04
"626",2,2002-05-11
"627",2,2002-05-18
"628",1,2002-05-25
"629",10,2002-06-01
"630",3,2002-06-08
"631",3,2002-06-15
"632",1,2002-06-22
"633",1,2002-06-29
"634",2,2002-07-06
"635",6,2002-07-13
"636",3,2002-07-20
"637",3,2002-07-27
"638",5,2002-08-03
"639",4,2002-08-10
"640",7,2002-08-17
"641",6,2002-08-24
"642",5,2002-08-31
"643",7,2002-09-07
"644",6,2002-09-14
"645",4,2002-09-21
"646",4,2002-09-28
"647",7,2002-10-05
"648",9,2002-10-12
"649",5,2002-10-19
"650",5,2002-10-26
"651",10,2002-11-02
"652",6,2002-11-09
"653",13,2002-11-16
"654",6,2002-11-23
"655",5,2002-11-30
"656",5,2002-12-07
"657",9,2002-12-14
"658",3,2002-12-21
"659",6,2002-12-28
"660",11,2003-01-04
"661",7,2003-01-11
"662",7,2003-01-18
"663",15,2003-01-25
"664",9,2003-02-01
"665",6,2003-02-08
"666",6,2003-02-15
"667",6,2003-02-22
"668",7,2003-03-01
"669",10,2003-03-08
"670",8,2003-03-15
"671",7,2003-03-22
"672",12,2003-03-29
"673",3,2003-04-05
"674",2,2003-04-12
"675",7,2003-04-19
"676",5,2003-04-26
"677",5,2003-05-03
"678",7,2003-05-10
"679",7,2003-05-17
"680",7,2003-05-24
"681",7,2003-05-31
"682",10,2003-06-07
"683",13,2003-06-14
"684",10,2003-06-21
"685",14,2003-06-28
"686",11,2003-07-05
"687",20,2003-07-12
"688",25,2003-07-19
"689",17,2003-07-26
"690",18,2003-08-02
"691",25,2003-08-09
"692",21,2003-08-16
"693",31,2003-08-23
"694",32,2003-08-30
"695",26,2003-09-06
"696",35,2003-09-13
"697",28,2003-09-20
"698",37,2003-09-27
"699",41,2003-10-04
"700",34,2003-10-11
"701",30,2003-10-18
"702",39,2003-10-25
"703",39,2003-11-01
"704",39,2003-11-08
"705",34,2003-11-15
"706",30,2003-11-22
"707",37,2003-11-29
"708",29,2003-12-06
"709",26,2003-12-13
"710",15,2003-12-20
"711",22,2003-12-27
"712",15,2004-01-03
"713",20,2004-01-10
"714",14,2004-01-17
"715",10,2004-01-24
"716",21,2004-01-31
"717",14,2004-02-07
"718",14,2004-02-14
"719",9,2004-02-21
"720",11,2004-02-28
"721",5,2004-03-06
"722",6,2004-03-13
"723",7,2004-03-20
"724",11,2004-03-27
"725",4,2004-04-03
"726",3,2004-04-10
"727",2,2004-04-17
"728",6,2004-04-24
"729",10,2004-05-01
"730",7,2004-05-08
"731",5,2004-05-15
"732",3,2004-05-22
"733",12,2004-05-29
"734",13,2004-06-05
"735",10,2004-06-12
"736",13,2004-06-19
"737",13,2004-06-26
"738",8,2004-07-03
"739",21,2004-07-10
"740",18,2004-07-17
"741",8,2004-07-24
"742",7,2004-07-31
"743",20,2004-08-07
"744",14,2004-08-14
"745",14,2004-08-21
"746",7,2004-08-28
"747",14,2004-09-04
"748",10,2004-09-11
"749",13,2004-09-18
"750",27,2004-09-25
"751",13,2004-10-02
"752",18,2004-10-09
"753",16,2004-10-16
"754",16,2004-10-23
"755",20,2004-10-30
"756",17,2004-11-06
"757",4,2004-11-13
"758",15,2004-11-20
"759",8,2004-11-27
"760",6,2004-12-04
"761",12,2004-12-11
"762",15,2004-12-18
"763",11,2004-12-25
"764",10,2005-01-01
"765",15,2005-01-08
"766",17,2005-01-15
"767",7,2005-01-22
"768",7,2005-01-29
"769",8,2005-02-05
"770",9,2005-02-12
"771",12,2005-02-19
"772",12,2005-02-26
"773",5,2005-03-05
"774",4,2005-03-12
"775",11,2005-03-19
"776",4,2005-03-26
"777",5,2005-04-02
"778",7,2005-04-09
"779",1,2005-04-16
"780",1,2005-04-23
"781",4,2005-04-30
"782",2,2005-05-07
"783",6,2005-05-14
"784",3,2005-05-21
"785",4,2005-05-28
"786",10,2005-06-04
"787",12,2005-06-11
"788",21,2005-06-18
"789",26,2005-06-25
"790",21,2005-07-02
"791",30,2005-07-09
"792",45,2005-07-16
"793",56,2005-07-23
"794",75,2005-07-30
"795",83,2005-08-06
"796",82,2005-08-13
"797",126,2005-08-20
"798",119,2005-08-27
"799",137,2005-09-03
"800",131,2005-09-10
"801",112,2005-09-17
"802",82,2005-09-24
"803",73,2005-10-01
"804",43,2005-10-08
"805",55,2005-10-15
"806",55,2005-10-22
"807",53,2005-10-29
"808",46,2005-11-05
"809",43,2005-11-12
"810",29,2005-11-19
"811",22,2005-11-26
"812",26,2005-12-03
"813",13,2005-12-10
"814",17,2005-12-17
"815",8,2005-12-24
"816",13,2006-01-07
"817",10,2006-01-14
"818",17,2006-01-21
"819",19,2006-01-28
"820",9,2006-02-04
"821",9,2006-02-11
"822",9,2006-02-18
"823",3,2006-02-25
"824",7,2006-03-04
"825",7,2006-03-11
"826",0,2006-03-18
"827",2,2006-03-25
"828",3,2006-04-01
"829",3,2006-04-08
"830",1,2006-04-15
"831",3,2006-04-22
"832",3,2006-04-29
"833",3,2006-05-06
"834",7,2006-05-13
"835",3,2006-05-20
"836",5,2006-05-27
"837",11,2006-06-03
"838",5,2006-06-10
"839",5,2006-06-17
"840",6,2006-06-24
"841",6,2006-07-01
"842",4,2006-07-08
"843",4,2006-07-15
"844",8,2006-07-22
"845",14,2006-07-29
"846",12,2006-08-05
"847",16,2006-08-12
"848",10,2006-08-19
"849",16,2006-08-26
"850",18,2006-09-02
"851",15,2006-09-09
"852",23,2006-09-16
"853",17,2006-09-23
"854",33,2006-09-30
"855",15,2006-10-07
"856",13,2006-10-14
"857",11,2006-10-21
"858",14,2006-10-28
"859",17,2006-11-04
"860",19,2006-11-11
"861",20,2006-11-18
"862",12,2006-11-25
"863",21,2006-12-02
"864",7,2006-12-09
"865",19,2006-12-16
"866",10,2006-12-23
"867",13,2006-12-30
"868",10,2007-01-06
"869",8,2007-01-13
"870",21,2007-01-20
"871",11,2007-01-27
"872",9,2007-02-03
"873",14,2007-02-10
"874",14,2007-02-17
"875",15,2007-02-24
"876",18,2007-03-03
"877",16,2007-03-10
"878",12,2007-03-17
"879",20,2007-03-24
"880",8,2007-03-31
"881",3,2007-04-07
"882",13,2007-04-14
"883",4,2007-04-21
"884",1,2007-04-28
"885",10,2007-05-05
"886",8,2007-05-12
"887",13,2007-05-19
"888",10,2007-05-26
"889",21,2007-06-02
"890",18,2007-06-09
"891",21,2007-06-16
"892",34,2007-06-23
"893",25,2007-06-30
"894",34,2007-07-07
"895",33,2007-07-14
"896",40,2007-07-21
"897",42,2007-07-28
"898",36,2007-08-04
"899",72,2007-08-11
"900",75,2007-08-18
"901",76,2007-08-25
"902",92,2007-09-01
"903",71,2007-09-08
"904",112,2007-09-15
"905",106,2007-09-22
"906",101,2007-09-29
"907",170,2007-10-06
"908",135,2007-10-13
"909",106,2007-10-20
"910",68,2007-10-27
"911",48,2007-11-03
"912",48,2007-11-10
"913",26,2007-11-17
"914",33,2007-11-24
"915",29,2007-12-01
"916",17,2007-12-08
"917",12,2007-12-15
"918",13,2007-12-22
"919",17,2007-12-29
"920",15,2008-01-05
"921",14,2008-01-12
"922",15,2008-01-19
"923",10,2008-01-26
"924",9,2008-02-02
"925",2,2008-02-09
"926",6,2008-02-16
"927",8,2008-02-23
"928",5,2008-03-01
"929",1,2008-03-08
"930",2,2008-03-15
"931",3,2008-03-22
"932",4,2008-03-29
"933",3,2008-04-05
"934",1,2008-04-12
"935",3,2008-04-19
"936",5,2008-04-26
"937",2,2008-05-03
"938",3,2008-05-10
"939",2,2008-05-17
"940",3,2008-05-24
"941",2,2008-05-31
"942",2,2008-06-07
"943",3,2008-06-14
"944",4,2008-06-21
"945",3,2008-06-28
"946",4,2008-07-05
"947",4,2008-07-12
"948",4,2008-07-19
"949",7,2008-07-26
"950",6,2008-08-02
"951",15,2008-08-09
"952",11,2008-08-16
"953",9,2008-08-23
"954",9,2008-08-30
"955",12,2008-09-06
"956",13,2008-09-13
"957",13,2008-09-20
"958",13,2008-09-27
"959",20,2008-10-04
"960",28,2008-10-11
"961",45,2008-10-18
"962",28,2008-10-25
"963",34,2008-11-01
"964",41,2008-11-08
"965",36,2008-11-15
"966",38,2008-11-22
"967",48,2008-11-29
"968",27,2008-12-06
"969",23,2008-12-13
"970",28,2008-12-20
"971",42,2008-12-27
"972",30,2009-01-03
"973",18,2009-01-10
"974",38,2009-01-17
"975",28,2009-01-24
"976",36,2009-01-31
"977",44,2009-02-07
"978",41,2009-02-14
"979",35,2009-02-21
"980",28,2009-02-28
"981",28,2009-03-07
"982",22,2009-03-14
"983",26,2009-03-21
"984",24,2009-03-28
"985",9,2009-04-04
"986",21,2009-04-11
"987",10,2009-04-18
"988",15,2009-04-25
"989",NA,2009-05-02
"990",NA,2009-05-09
"991",NA,2009-05-16
"992",NA,2009-05-23
"993",NA,2009-05-30
"994",NA,2009-06-06
"995",NA,2009-06-13
"996",NA,2009-06-20
"997",NA,2009-06-27
"998",NA,2009-07-04
"999",NA,2009-07-11
"1000",NA,2009-07-18
"1001",NA,2009-07-25
"1002",NA,2009-08-01
"1003",NA,2009-08-08
"1004",NA,2009-08-15
"1005",NA,2009-08-22
"1006",NA,2009-08-29
"1007",NA,2009-09-05
"1008",NA,2009-09-12
"1009",NA,2009-09-19
"1010",NA,2009-09-26
"1011",NA,2009-10-03
"1012",NA,2009-10-10
"1013",NA,2009-10-17
"1014",NA,2009-10-24
"1015",NA,2009-10-31
"1016",NA,2009-11-07
"1017",NA,2009-11-14
"1018",NA,2009-11-21
"1019",NA,2009-11-28
"1020",NA,2009-12-05
"1021",NA,2009-12-12
"1022",NA,2009-12-19
"1023",NA,2009-12-26
